x,y
49.54607745368426,81.49038959233513
19.67827004,94.46835443
24.65189873,75.3164557
37.19409283,56.59493671
51.68248945,45.83544304
84.33544304,38.94936709
112.0147679,38.94936709
171.6983122,18.29113924
170.18459913333334,36.51054852333333
168.67088606666667,54.72995780666666
169.1033755,80.48101266
182.2943038,121.3670886
155.0474684,118.5696203
129.53058420000002,117.00618095
104.0137,115.4427416
108.5548523,81.34177215
120.0158228,53.15189873
93.85021097,52.50632911
73.0907173,53.36708861
74.38818565,80.69620253
95.7964135,81.7721519
95.58016878,114.9260125
74.388185655,113.6275632
53.19620253,112.3291139
