Inner Diameter (m),Price($)
0.017227199,0.338070795
0.0215396,0.824909708
0.026962911,1.437162324
0.034034618,2.235506967
0.038958982,2.791432122
0.048702767,3.891435073
0.058955125,5.048852226
0.071766548,6.495169387
0.08201891,7.652586996
0.092271272,8.810004553
0.114067638,11.27065691
0.135847858,13.72948642
0.176857305,18.35915675
0.220425814,23.27772679
0.261435292,27.90740067
0.287066193,30.80094418
0.32807564,35.43061462
0.369085086,40.06028485
0.410094534,44.68995528
0.451103981,49.31962572
0.492113429,53.94929615
0.533122905,58.57896983
0.574132385,63.20864392
0.615141801,67.8383107
0.656151281,72.46798479
0.697160696,77.09765157
0.738170172,81.72732524
